Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ1,Buzzer,Buzzer_12x9.5RM7.6,168.15,-107.6,0.0,top
C1,100u,CP_Elec_6.3x5.3,135.3,-39.4,0.0,top
C2,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,192.6,-89.3125,-90.0,top
C3,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,177.0625,-76.85,180.0,top
C4,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,182.0375,-76.85,180.0,top
C5,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,178.5625,-98.05,0.0,top
D1,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,178.64,-102.9,0.0,top
D2,LED,LED_0805_2012Metric,188.6625,-101.15,180.0,top
D3,LED,LED_0805_2012Metric,188.6625,-103.4,180.0,top
D4,LED,LED_0805_2012Metric,188.6625,-105.65,180.0,top
H1,MountingHole,MountingHole_3.2mm_M3,189.55,-73.2,180.0,top
H2,MountingHole,MountingHole_3.2mm_M3,166.25,-37.9,180.0,top
H3,MountingHole,MountingHole_3.2mm_M3,166.25,-73.2,180.0,top
H4,MountingHole,MountingHole_3.2mm_M3,189.55,-37.792941,180.0,top
H5,MountingHole,MountingHole_3.2mm_M3,189.5,-110.5,0.0,top
H6,MountingHole,MountingHole_3.2mm_M3,145.2,-37.9,0.0,top
H6,MountingHole,MountingHole_3.2mm_M3,145.2,-110.5,0.0,top
J1,Conn_01x25,PinHeader_1x25_P2.54mm_Vertical,131.0,-79.7,0.0,top
J11,Screw_Terminal_01x02,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,156.7,-39.45,0.0,top
J2,Conn_01x25,PinHeader_1x25_P2.54mm_Vertical,156.5,-79.7,0.0,top
J3,Conn_01x07,PinHeader_1x07_P2.54mm_Vertical,177.9,-73.9,90.0,top
J4,Conn_01x06,PinHeader_1x06_P2.54mm_Vertical,189.107712,-88.24285,0.0,top
J5,Conn_01x06,PinHeader_1x06_P2.54mm_Vertical,178.707712,-88.24285,0.0,top
J6,Conn_01x05,PinHeader_1x05_P2.54mm_Vertical,163.3,-89.94,180.0,top
J7,Conn_01x07,PinHeader_1x07_P2.54mm_Vertical,173.3,-89.94,180.0,top
Q1,NPN,TO-92,177.9,-107.565,180.0,top
R1,33r,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,161.0,-53.5,0.0,top
R10,330,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,191.7,-104.75,90.0,top
R2,33r,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,159.55,-96.35,-90.0,top
R3,33r,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,159.55,-91.35,90.0,top
R4,33r,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,159.55,-86.3,90.0,top
R5,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.4,-59.05,0.0,top
R6,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.4,-56.4,0.0,top
R7,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,181.75,-107.85,-90.0,top
R8,330,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,188.65,-98.75,180.0,top
R9,330,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,191.7,-99.9,90.0,top
